vehicle_id,frame_number,timestamp,vehicle_type,x_position,y_position,speed,direction
1,0,0.0,Car,399.0,139.75,19.5123,0.0
1,2,0.08,Car,419.83,213.83,23.6316,273.36
1,59,2.36,Car,445.5,304.5,36.3421,292.73
1,61,2.44,Car,435.83,369.5,30.0982,196.29
1,1304,52.16,Car,403.5,383.67,27.5885,172.66
1,1376,55.04,Car,359.5,378.0,22.3169,280.68
2,0,0.0,Person,394.25,204.25,2.0877,0.0
2,12,0.48,Person,383.0,190.83,1.7815,141.24
2,65,2.6,Person,377.33,177.5,3.2395,100.15
2,77,3.08,Person,388.83,155.5,5.1258,16.7
2,89,3.56,Person,416.5,120.5,5.3666,62.53
2,129,5.16,Person,436.33,82.67,4.3931,67.11
2,137,5.48,Person,448.67,69.0,2.6819,297.34
2,149,5.96,Person,459.33,108.83,3.3135,280.2
2,170,6.8,Person,473.33,153.5,3.9015,288.43
2,181,7.24,Person,489.0,185.5,3.5459,332.59
2,185,7.4,Person,492.83,187.17,3.517,77.77
2,191,7.64,Person,491.67,192.0,2.9681,212.56
2,215,8.6,Person,490.67,182.5,3.5686,15.24
2,230,9.2,Person,492.17,182.17,4.4741,81.06
2,243,9.72,Person,499.33,174.33,6.5876,280.14
2,247,9.88,Person,498.67,195.0,6.0902,299.84
2,265,10.6,Person,496.17,222.17,4.9541,251.0
2,287,11.48,Person,502.5,233.67,4.8704,301.28
2,302,12.08,Person,509.5,221.83,5.4537,58.84
2,329,13.16,Person,531.67,207.0,6.0162,74.3
2,348,13.92,Person,538.33,219.67,4.0158,303.36
2,380,15.2,Person,545.17,231.0,3.9141,245.13
2,392,15.68,Person,543.17,234.83,3.3661,106.51
2,420,16.8,Person,538.5,211.0,3.311,72.65
2,476,19.04,Person,536.0,194.83,2.8537,103.22
2,482,19.28,Person,534.5,189.33,4.4287,265.48
2,492,19.68,Person,544.0,228.83,5.2211,284.88
2,501,20.04,Person,552.33,276.0,6.6376,281.34
2,504,20.16,Person,554.33,303.33,4.438,191.29
2,529,21.16,Person,541.83,309.17,4.0348,166.37
2,556,22.24,Person,506.5,284.83,1.6285,163.54
2,683,27.32,Person,469.83,251.67,1.9067,129.84
2,720,28.8,Person,448.0,189.83,1.4123,89.42
2,757,30.28,Person,446.5,152.67,2.2352,76.67
2,766,30.64,Person,445.17,122.17,2.0387,143.53
2,814,32.56,Person,441.33,107.67,3.8314,94.81
2,820,32.8,Person,439.83,97.17,4.9575,46.77
2,823,32.92,Person,445.5,95.33,6.7194,236.71
2,870,34.8,Person,445.17,112.67,5.2464,291.81
2,875,35.0,Person,447.0,126.83,3.9585,265.74
2,878,35.12,Person,447.67,148.17,2.1088,266.94
2,917,36.68,Person,443.67,159.33,2.1659,269.09
2,931,37.24,Person,436.33,165.5,2.6253,185.84
2,940,37.6,Person,413.5,185.17,5.0328,203.26
2,956,38.24,Person,399.83,211.17,5.6053,247.74
2,970,38.8,Person,397.5,236.33,5.7889,318.37
2,980,39.2,Person,404.33,242.17,3.8171,50.53
