time,vehicle_1,vehicle_2,distance,speed,ttc
3.0,auto_flow_1.0,car_flow_2.0,28.64,11.0,2.6
3.0,bike_flow_1.0,car_flow_1.0,28.13,12.87,2.19
3.0,bike_flow_2.0,bike_flow_2.1,23.96,11.83,2.02
4.0,bike_flow_1.0,car_flow_1.0,26.09,14.32,1.82
4.0,bike_flow_2.0,bike_flow_2.1,27.36,13.16,2.08
5.0,bike_flow_1.0,car_flow_1.0,25.39,13.44,1.89
5.0,bike_flow_1.0,car_flow_1.1,24.76,13.44,1.84
5.0,bike_flow_2.0,bike_flow_2.1,29.74,12.5,2.38
5.0,bike_flow_2.1,bike_flow_2.2,19.89,10.13,1.96
6.0,auto_flow_1.0,car_flow_2.1,28.61,10.59,2.7
6.0,bike_flow_1.0,car_flow_1.0,25.02,12.61,1.98
6.0,bike_flow_1.0,car_flow_1.1,24.45,12.61,1.94
6.0,bike_flow_2.0,bike_flow_2.1,32.25,13.7,2.35
6.0,bike_flow_2.1,bike_flow_2.2,20.17,11.19,1.8
7.0,auto_flow_1.0,car_flow_2.1,27.48,10.6,2.59
7.0,bike_flow_1.0,car_flow_1.0,25.65,12.15,2.11
7.0,bike_flow_1.0,car_flow_1.1,22.8,12.15,1.88
7.0,bike_flow_1.1,car_flow_1.1,29.72,12.91,2.3
7.0,bike_flow_2.0,bike_flow_2.1,33.33,12.39,2.69
7.0,bike_flow_2.0,car_flow_1.0,29.9,12.39,2.41
7.0,bike_flow_2.0,car_flow_2.0,26.14,12.39,2.11
7.0,bike_flow_2.1,bike_flow_2.2,19.11,11.31,1.69
7.0,bike_flow_2.2,bike_flow_2.3,23.28,12.36,1.88
7.0,car_flow_1.0,car_flow_2.0,34.38,12.78,2.69
8.0,auto_flow_1.0,car_flow_2.1,25.96,10.54,2.46
8.0,auto_flow_1.1,car_flow_2.1,25.79,11.0,2.34
8.0,bike_flow_1.0,bike_flow_2.0,34.89,12.07,2.89
8.0,bike_flow_1.0,car_flow_1.0,25.72,12.07,2.13
8.0,bike_flow_1.0,car_flow_1.1,21.71,12.07,1.8
8.0,bike_flow_1.0,car_flow_2.0,34.14,12.07,2.83
8.0,bike_flow_1.1,car_flow_1.1,31.36,11.53,2.72
8.0,bike_flow_2.0,car_flow_1.0,15.75,9.21,1.71
8.0,bike_flow_2.0,car_flow_2.0,11.6,9.21,1.26
8.0,bike_flow_2.1,bike_flow_2.2,19.54,11.17,1.75
8.0,bike_flow_2.2,bike_flow_2.3,20.69,10.74,1.93
8.0,car_flow_1.0,car_flow_2.0,8.87,12.14,0.73
9.0,auto_flow_1.0,car_flow_1.0,29.88,10.7,2.79
9.0,auto_flow_1.0,car_flow_2.1,25.15,10.7,2.35
9.0,auto_flow_1.1,car_flow_2.1,27.56,9.75,2.83
9.0,bike_flow_1.0,bike_flow_2.0,20.68,13.8,1.5
9.0,bike_flow_1.0,bike_flow_2.1,40.47,13.8,2.93
9.0,bike_flow_1.0,car_flow_1.0,24.24,13.8,1.76
9.0,bike_flow_1.0,car_flow_1.1,23.02,13.8,1.67
9.0,bike_flow_1.0,car_flow_2.0,7.45,13.8,0.54
9.0,bike_flow_1.1,car_flow_1.1,31.31,12.54,2.5
9.0,bike_flow_1.1,car_flow_1.2,21.07,12.54,1.68
9.0,bike_flow_2.0,car_flow_1.0,12.14,4.21,2.88
9.0,bike_flow_2.1,bike_flow_2.2,18.08,9.65,1.87
9.0,bike_flow_2.2,bike_flow_2.3,21.91,11.12,1.97
9.0,bike_flow_2.3,bike_flow_2.4,23.22,9.9,2.35
9.0,car_flow_1.0,car_flow_2.0,17.8,12.32,1.44
