time,vehicle_id,pedestrian_id,vehicle_exit_time,pedestrian_entry_time,PET
111.0,car_flow_2.7,ped_5,110.0,111.0,1.0
303.0,bike_flow_1.12,ped_39,302.0,303.0,1.0
344.0,av_flow_1.11,ped_43,339.0,344.0,5.0
375.0,auto_flow_1.10,ped_51,373.0,375.0,2.0
452.0,bike_flow_2.18,ped_65,449.0,452.0,3.0
492.0,bike_flow_2.20,ped_66,491.0,492.0,1.0
538.0,bike_flow_1.22,ped_72,537.0,538.0,1.0
596.0,bike_flow_2.24,ped_82,593.0,596.0,3.0
603.0,car_flow_1.41,ped_83,600.0,603.0,3.0
624.0,auto_flow_1.17,ped_77,623.0,624.0,1.0
677.0,car_flow_2.46,ped_97,675.0,677.0,2.0
688.0,car_flow_1.47,ped_99,687.0,688.0,1.0
705.0,car_flow_1.48,ped_101,701.0,705.0,4.0
707.0,bike_flow_1.29,ped_102,706.0,707.0,1.0
746.0,car_flow_2.51,ped_105,744.0,746.0,2.0
782.0,bike_flow_2.32,ped_110,780.0,782.0,2.0
810.0,bike_flow_2.33,ped_116,807.0,810.0,3.0
935.0,car_flow_2.64,ped_137,932.0,935.0,3.0
